Date,Close,Volume,Open,High,Low
2017-07-12,1954.5,N/A,1954.5,1954.5,1954.5
2017-07-11,1967.75,N/A,1967.75,1967.75,1967.75
2017-07-10,1976.75,N/A,1976.75,1976.75,1976.75
2017-07-07,1997.5,N/A,1997.5,1997.5,1997.5
2017-07-06,2009.25,N/A,2009.25,2009.25,2009.25
2017-07-05,1994.75,N/A,1994.75,1994.75,1994.75
2017-07-03,1996.5,N/A,1996.5,1996.5,1996.5
2017-06-30,1984.5,N/A,1984.5,1984.5,1984.5
2017-06-29,1982.25,N/A,1982.25,1982.25,1982.25
2017-06-28,1963.5,N/A,1963.5,1963.5,1963.5
2017-06-27,1951.75,N/A,1951.75,1951.75,1951.75
2017-06-26,1928.25,N/A,1928.25,1928.25,1928.25
2017-06-23,1934,N/A,1934,1934,1934
2017-06-22,1937,N/A,1937,1937,1937
2017-06-21,1937,N/A,1937,1937,1937
2017-06-20,1956.75,N/A,1956.75,1956.75,1956.75
2017-06-19,1955.75,N/A,1955.75,1955.75,1955.75
2017-06-16,1943.25,N/A,1943.25,1943.25,1943.25
2017-06-15,1951.75,N/A,1951.75,1951.75,1951.75
2017-06-14,1954.25,N/A,1954.25,1954.25,1954.25
2017-06-13,1954.25,N/A,1954.25,1954.25,1954.25
2017-06-12,1953.25,N/A,1953.25,1953.25,1953.25
2017-06-09,1970.75,N/A,1970.75,1970.75,1970.75
2017-06-08,1966.75,N/A,1966.75,1966.75,1966.75
2017-06-07,1970.75,N/A,1970.75,1970.75,1970.75
2017-06-06,1963.75,N/A,1963.75,1963.75,1963.75
2017-06-05,1968.25,N/A,1968.25,1968.25,1968.25
2017-06-02,1995.75,N/A,1995.75,1995.75,1995.75
2017-06-01,1999.25,N/A,1999.25,1999.25,1999.25
2017-05-31,1999.75,N/A,1999.75,1999.75,1999.75
2017-05-30,1985,N/A,1985,1985,1985
2017-05-26,2021,N/A,2021,2021,2021
2017-05-25,2028.25,30,2034,2034,2025.5
2017-05-24,2021.25,20,2029.5,2029.5,2027.25
2017-05-23,2018.5,N/A,2018.5,2018.5,2018.5
2017-05-22,2016.75,N/A,2016.75,2016.75,2016.75
2017-05-19,2022.75,50,2028.25,2028.25,2017.5
2017-05-18,2008.75,N/A,2008.75,2008.75,2008.75
2017-05-17,2013,N/A,2013,2013,2013
2017-05-16,2011,N/A,2011,2011,2011
2017-05-15,1994.75,N/A,1994.75,1994.75,1994.75
2017-05-12,1985,10,1972.25,1972.25,1972.25
2017-05-11,1964.25,N/A,1964.25,1964.25,1964.25
2017-05-10,1956,N/A,1956,1956,1956
2017-05-09,1959.25,N/A,1959.25,1959.25,1959.25
2017-05-08,1966.25,N/A,1966.25,1966.25,1966.25
2017-05-05,1994.75,N/A,1994.75,1994.75,1994.75
2017-05-04,2003.25,N/A,2003.25,2003.25,2003.25
2017-05-03,2015.25,N/A,2015.25,2015.25,2015.25
2017-05-02,2019.25,N/A,2019.25,2019.25,2019.25
2017-05-01,1997.5,N/A,1997.5,1997.5,1997.5
2017-04-28,1997.5,N/A,1997.5,1997.5,1997.5
2017-04-27,1994.75,N/A,1994.75,1994.75,1994.75
2017-04-26,2030.75,N/A,2030.75,2030.75,2030.75
2017-04-25,2020.5,N/A,2020.5,2020.5,2020.5
2017-04-24,2002.5,6,2003,2008.75,2003
2017-04-21,1992.75,30,1992.75,1992.75,1992.75
2017-04-20,1998.25,N/A,1998.25,1998.25,1998.25
2017-04-19,1960.75,N/A,1960.75,1960.75,1960.75
2017-04-18,1948.5,N/A,1948.5,1948.5,1948.5
2017-04-17,1964,N/A,1964,1964,1964
2017-04-13,1964,N/A,1964,1964,1964
2017-04-12,1954,N/A,1954,1954,1954
2017-04-11,1975,N/A,1975,1975,1975
2017-04-10,1977.75,N/A,1977.75,1977.75,1977.75
2017-04-07,2027.25,N/A,2027.25,2027.25,2027.25
2017-04-06,2029,40,2029,2029,2029
2017-04-05,2014.25,N/A,2014.25,2014.25,2014.25
2017-04-04,2014.25,N/A,2014.25,2014.25,2014.25
2017-04-03,2024.25,N/A,2024.25,2024.25,2024.25
2017-03-31,2032.75,1,2040,2040,2040
2017-03-30,2041.75,1,2028.75,2028.75,2028.75
2017-03-29,2028.75,N/A,2028.75,2028.75,2028.75
2017-03-28,2019.75,N/A,2019.75,2019.75,2019.75
2017-03-27,2004.25,50,2004.25,2004.25,2004.25
