Date,Close,Open,High,Low,Vol.,Change
2019-12-17,66.10,65.31,66.24,65.12,239.85,1.16
2019-12-18,66.17,65.84,66.43,65.56,248.77,0.11
2019-12-19,66.54,66.19,66.78,66.03,229.21,0.56
2019-12-20,66.14,66.56,66.72,65.70,210.55,-0.60
2019-12-23,66.39,66.15,66.62,65.81,130.19,0.38
2019-12-24,67.20,66.44,67.26,66.36,104.94,1.22
2019-12-26,67.92,67.27,67.99,67.22,69.82,1.07
2019-12-27,68.16,67.91,68.33,67.57,112.22,0.35
2019-12-30,68.44,68.20,68.99,68.16,29.42,0.41
2019-12-31,66.00,66.65,66.93,65.63,171.01,-3.57
2020-01-02,66.25,66.41,66.58,65.72,205.69,0.38
2020-01-03,68.60,66.28,69.50,66.22,479.70,3.55
2020-01-06,68.91,69.35,70.74,68.21,341.14,0.45
2020-01-07,68.27,68.63,68.75,67.65,284.92,-0.93
2020-01-08,65.44,71.22,71.75,64.94,560.89,-4.15
2020-01-09,65.37,66.00,66.10,64.56,364.45,-0.11
2020-01-10,64.98,65.29,65.66,64.86,272.17,-0.60
2020-01-13,64.20,65.13,65.27,63.92,262.47,-1.20
2020-01-14,64.49,64.29,65.05,63.92,270.50,0.45
2020-01-15,64.00,64.44,64.60,63.55,229.53,-0.76
2020-01-16,64.62,64.26,64.97,63.90,220.17,0.97
2020-01-17,64.85,64.69,65.60,64.48,238.64,0.36
2020-01-20,65.20,65.98,66.00,64.92,154.79,0.54
2020-01-21,64.59,65.26,65.35,64.06,248.56,-0.94
2020-01-22,63.21,64.57,64.58,62.62,273.30,-2.14
2020-01-23,62.04,62.68,62.69,61.25,361.91,-1.85
2020-01-24,60.69,62.01,62.46,60.25,257.95,-2.18
2020-01-27,59.32,60.23,60.49,58.50,259.77,-2.26
2020-01-28,59.51,59.03,60.12,58.50,248.95,0.32
2020-01-29,59.81,59.86,60.62,59.26,142.68,0.50
2020-01-30,58.29,59.60,59.65,57.71,104.27,-2.54
2020-01-31,58.16,59.30,59.45,57.94,19.60,-0.22
2020-02-03,54.45,56.16,56.77,54.08,477.22,-6.38
2020-02-04,53.96,54.33,55.65,53.69,409.86,-0.90
2020-02-05,55.28,54.05,56.46,54.05,412.27,2.45
