Date,Week day,Close,1W,1M,2M,3M,6M,12M
2014-03-18,Tue,0.10571,0.16071,0.20929,0.24286,0.27643,0.37557,0.54386
2014-03-17,Mon,0.10643,0.15857,0.20786,0.23929,0.27429,0.37057,0.536
2014-03-14,Fri,0.10429,0.15857,0.20714,0.23786,0.27214,0.36343,0.52957
2014-03-13,Thu,0.10357,0.15857,0.20714,0.23786,0.27214,0.36414,0.53386
2014-03-12,Wed,0.10143,0.15857,0.20714,0.23929,0.275,0.35986,0.53386
2014-03-11,Tue,0.10643,0.15857,0.20786,0.24143,0.27714,0.36771,0.53814
2014-03-10,Mon,0.1,0.16071,0.20714,0.24214,0.27857,0.37343,0.53814
2014-03-07,Fri,0.09143,0.15429,0.20071,0.23357,0.27071,0.36629,0.52743
2014-03-06,Thu,0.09071,0.14857,0.19571,0.225,0.255,0.34429,0.51214
2014-03-05,Wed,0.09643,0.15071,0.19571,0.22571,0.25643,0.34571,0.51214
2014-03-04,Tue,0.095,0.15214,0.19714,0.225,0.25714,0.34571,0.51357
2014-03-03,Mon,0.09714,0.15214,0.19714,0.22857,0.26,0.34643,0.51457
2014-02-28,Fri,0.16857,0.15357,0.19714,0.22714,0.26143,0.34429,0.51386
2014-02-27,Thu,0.095,0.15357,0.19714,0.225,0.26,0.33929,0.51
2014-02-26,Wed,0.095,0.16,0.19714,0.22571,0.26143,0.34286,0.51386
2014-02-25,Tue,0.09071,0.15571,0.19714,0.22571,0.26143,0.33714,0.51243
2014-02-24,Mon,0.095,0.15214,0.19714,0.225,0.26071,0.34143,0.50929
2014-02-21,Fri,0.09571,0.15357,0.19714,0.22786,0.26071,0.34143,0.50886
2014-02-20,Thu,0.09429,0.15214,0.19714,0.225,0.25714,0.33786,0.50743
2014-02-19,Wed,0.09357,0.15,0.19714,0.225,0.25571,0.33986,0.50743
2014-02-18,Tue,0.09143,0.15,0.19714,0.22571,0.25786,0.34129,0.50857
2014-02-17,Mon,0.09143,0.15,0.19714,0.22571,0.25857,0.34129,0.50786
2014-02-14,Fri,0.09214,0.14857,0.19714,0.22571,0.25929,0.34129,0.50857
2014-02-13,Thu,0.095,0.15,0.19714,0.22571,0.25786,0.34129,0.50786
2014-02-12,Wed,0.10929,0.16071,0.2,0.22857,0.26,0.34843,0.51429
2014-02-11,Tue,0.08286,0.15429,0.19857,0.22857,0.25929,0.34914,0.51529
2014-02-10,Mon,0.08786,0.15143,0.19857,0.22857,0.25714,0.34843,0.51286
2014-02-07,Fri,0.08857,0.15143,0.19857,0.22786,0.25786,0.34914,0.51286
2014-02-06,Thu,0.09357,0.15,0.19786,0.22571,0.25429,0.34271,0.50671
2014-02-05,Wed,0.09714,0.14929,0.19786,0.22643,0.255,0.342,0.50743
2014-02-04,Tue,0.09071,0.14643,0.19571,0.225,0.25429,0.342,0.506
2014-02-03,Mon,0.09643,0.14786,0.19571,0.22643,0.25643,0.34486,0.50857
2014-01-31,Fri,0.16286,0.15714,0.20071,0.23071,0.26286,0.35414,0.51743
2014-01-30,Thu,0.085,0.15714,0.20286,0.23571,0.27,0.36057,0.526
2014-01-29,Wed,0.09857,0.16929,0.20857,0.24857,0.27286,0.36629,0.53314
2014-01-28,Tue,0.10857,0.17929,0.215,0.25143,0.28,0.36771,0.536
2014-01-27,Mon,0.10714,0.18,0.21286,0.24929,0.27643,0.36843,0.53886
2014-01-24,Fri,0.11643,0.18286,0.21071,0.245,0.275,0.36771,0.536
2014-01-23,Thu,0.14071,0.18786,0.21571,0.24857,0.28,0.36629,0.53814
2014-01-22,Wed,0.17929,0.19143,0.22,0.25,0.28,0.36629,0.53957
2014-01-21,Tue,0.25,0.20714,0.22357,0.25286,0.28429,0.36843,0.54243
2014-01-20,Mon,0.26286,0.20357,0.22286,0.25,0.28214,0.36914,0.54029
2014-01-17,Fri,0.23714,0.2,0.22429,0.25357,0.28429,0.36843,0.54171
2014-01-16,Thu,0.19429,0.18643,0.21357,0.24929,0.28357,0.37557,0.54457
2014-01-15,Wed,0.10286,0.14357,0.19357,0.23571,0.26857,0.36343,0.53029
2014-01-14,Tue,0.08643,0.13429,0.18429,0.22214,0.26143,0.35486,0.52671
2014-01-13,Mon,0.08786,0.13357,0.18429,0.22143,0.25929,0.35629,0.52671
2014-01-10,Fri,0.09286,0.13571,0.18429,0.22357,0.25929,0.35629,0.52714
2014-01-09,Thu,0.09571,0.13357,0.18429,0.22286,0.26,0.35557,0.52743
2014-01-08,Wed,0.08929,0.13,0.18429,0.22143,0.25643,0.34986,0.52386
2014-01-07,Tue,0.06,0.12357,0.18357,0.22143,0.25643,0.34429,0.51814
2014-01-06,Mon,0.07143,0.12571,0.185,0.22143,0.25714,0.35,0.51457
2014-01-03,Fri,0.09714,0.14071,0.18857,0.22571,0.25571,0.35071,0.51357
2014-01-02,Thu,0.12571,0.14929,0.19643,0.22929,0.26286,0.35214,0.516
2013-12-31,Tue,0.32,0.15643,0.20143,0.23071,0.26571,0.35286,0.51886
2013-12-30,Mon,0.13286,0.15929,0.20357,0.23429,0.26786,0.35571,0.52243
2013-12-27,Fri,0.13429,0.20929,0.21714,0.24714,0.27357,0.36129,0.52886
2013-12-24,Tue,0.12071,0.20643,0.20857,0.245,0.27214,0.36129,0.52886
2013-12-23,Mon,0.10643,0.20143,0.20714,0.245,0.27214,0.36129,0.52743
2013-12-20,Fri,0.10286,0.14857,0.20643,0.24429,0.27143,0.35986,0.52457
2013-12-19,Thu,0.10714,0.145,0.20714,0.245,0.27143,0.35857,0.52457
2013-12-18,Wed,0.12357,0.16286,0.21357,0.24929,0.27714,0.36286,0.52886
2013-12-17,Tue,0.125,0.16071,0.215,0.24929,0.27429,0.36343,0.53671
2013-12-16,Mon,0.11143,0.14286,0.19929,0.23,0.26214,0.34986,0.52529
2013-12-13,Fri,0.09714,0.12643,0.18929,0.22286,0.25571,0.34129,0.51886
2013-12-12,Thu,0.09857,0.12571,0.18643,0.22143,0.25286,0.33414,0.51386
2013-12-11,Wed,0.09786,0.12286,0.18071,0.21071,0.24357,0.32629,0.50314
2013-12-10,Tue,0.09857,0.12071,0.17643,0.20357,0.23429,0.31771,0.49814
2013-12-09,Mon,0.09929,0.11857,0.17,0.19571,0.22429,0.30914,0.48743
2013-12-06,Fri,0.10286,0.11714,0.15929,0.18357,0.21429,0.30057,0.47814
2013-12-05,Thu,0.09357,0.10857,0.14786,0.17429,0.20214,0.28643,0.46243
2013-12-04,Wed,0.08929,0.10429,0.145,0.17143,0.20071,0.285,0.45929
2013-12-03,Tue,0.08786,0.105,0.14,0.16929,0.19857,0.28143,0.45786
